status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,tier,risk_multiplier,regime,quality_score
COMPLETED,PUT,PE,24700,2025-08-07,2025-08-01T11:30:00,2025-08-01T11:50:00,66.16,65.3,47.64,105.86,SL_HIT,-56.03,55.34,-111.37,65,1,24682.15,-0.5365,0.1169,11.69,2025-08-07,1.5,0,EMA_PULLBACK,2,0.85,DIRECTIONAL,3
COMPLETED,PUT,PE,24600,2025-08-14,2025-08-05T10:10:00,2025-08-05T12:10:00,113.08,81.01,81.41,180.92,SL_HIT,-2084.45,58.62,-2143.06,65,1,24618.75,-0.4515,0.1222,12.22,2025-08-11,0.5,0,EMA_PULLBACK,3,1.0,DIRECTIONAL,2
COMPLETED,PUT,PE,24550,2025-08-14,2025-08-06T10:55:00,2025-08-06T12:15:00,101.76,72.68,73.27,162.82,SL_HIT,-1890.21,57.46,-1947.66,65,1,24556.45,-0.4689,0.1223,12.23,2025-08-12,0.8,0,EMA_PULLBACK,2,0.85,NEUTRAL,3
COMPLETED,PUT,PE,24450,2025-08-14,2025-08-08T10:35:00,2025-08-08T12:50:00,95.33,67.88,68.63,152.52,SL_HIT,-1784.01,56.79,-1840.8,65,1,24434.5,-0.5087,0.1214,12.14,2025-08-13,1.1,0,EMA_PULLBACK,2,1.0,NEUTRAL,3
COMPLETED,PUT,PE,24450,2025-08-14,2025-08-08T10:35:00,2025-08-08T12:40:00,73.83,52.36,53.16,118.13,SL_HIT,-1395.61,54.61,-1450.22,65,1,24434.5,-0.5235,0.1236,12.36,2025-08-14,1.5,0,EMA_PULLBACK,2,0.85,NEUTRAL,3
COMPLETED,CALL,CE,25000,2025-08-21,2025-08-20T10:10:00,2025-08-20T13:20:00,96.59,95.72,69.54,154.54,SL_HIT,-56.64,59.11,-115.75,65,1,24995.75,0.5119,0.1179,11.79,2025-08-20,1.1,0,RELAXED_ORB,2,0.85,DIRECTIONAL,3
COMPLETED,PUT,PE,24800,2025-08-28,2025-08-26T10:25:00,2025-08-26T10:55:00,68.32,67.43,49.19,109.31,SL_HIT,-57.86,55.6,-113.46,65,1,24797.1,-0.4933,0.1218,12.18,2025-08-28,1.5,0,EMA_PULLBACK,3,0.85,DIRECTIONAL,2
COMPLETED,PUT,PE,24800,2025-09-04,2025-08-26T10:25:00,2025-08-26T15:15:00,113.44,151.47,81.68,181.5,FORCE_EXIT,2472.01,64.36,2407.64,65,1,24797.1,-0.4766,0.1129,11.29,2025-09-01,0.5,0,EMA_PULLBACK,3,0.85,DIRECTIONAL,2
COMPLETED,PUT,PE,24600,2025-09-04,2025-08-28T10:05:00,2025-08-28T10:50:00,117.14,83.92,84.34,187.43,SL_HIT,-2159.41,59.03,-2218.44,65,1,24589.5,-0.4863,0.1129,11.29,2025-09-01,0.5,0,EMA_PULLBACK,2,0.85,DIRECTIONAL,3
COMPLETED,PUT,PE,24800,2025-09-04,2025-08-26T10:25:00,2025-08-26T15:15:00,101.36,138.31,72.98,162.17,FORCE_EXIT,2402.0,62.78,2339.22,65,1,24797.1,-0.4808,0.114,11.4,2025-09-02,0.8,0,EMA_PULLBACK,3,0.85,DIRECTIONAL,2
