status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,tier,risk_multiplier,regime,quality_score
COMPLETED,PUT,PE,24850,2025-07-31,2025-07-25T10:50:00,2025-07-25T11:30:00,74.94,53.36,53.95,119.9,SL_HIT,-1402.42,54.74,-1457.16,65,1,24862.3,-0.4576,0.1121,11.21,2025-07-30,1.1,0,EMA_PULLBACK,1,1.0,BEAR_PULLBACK,4
COMPLETED,PUT,PE,24650,2025-08-07,2025-08-05T09:35:00,2025-08-05T15:05:00,113.2,80.85,81.5,181.12,SL_HIT,-2102.58,58.61,-2161.18,65,1,24633.45,-0.4999,0.1171,11.71,2025-08-05,0.8,0,RELAXED_ORB,1,1.0,BEAR_PULLBACK,4
COMPLETED,PUT,PE,24600,2025-08-07,2025-08-05T09:45:00,2025-08-05T12:10:00,97.05,69.31,69.87,155.28,SL_HIT,-1802.59,56.98,-1859.57,65,1,24615.4,-0.4544,0.1171,11.71,2025-08-05,0.8,0,RELAXED_ORB,1,1.0,BEAR_PULLBACK,4
COMPLETED,CALL,CE,24450,2025-08-14,2025-08-11T11:20:00,2025-08-11T11:35:00,76.09,53.96,54.79,121.75,SL_HIT,-1438.27,54.84,-1493.11,65,1,24470.15,0.5635,0.1236,12.36,2025-08-14,1.5,0,VWAP_RECLAIM,2,0.85,SKIP_RANGING,3
COMPLETED,CALL,CE,25000,2025-08-21,2025-08-20T10:10:00,2025-08-20T13:20:00,96.59,95.72,69.54,154.54,SL_HIT,-56.64,59.11,-115.75,65,1,24995.75,0.5119,0.1179,11.79,2025-08-20,1.1,0,RELAXED_ORB,2,0.85,BULL_PULLBACK,3
COMPLETED,CALL,CE,24800,2025-09-11,2025-09-08T09:30:00,2025-09-08T10:15:00,80.45,57.06,57.93,128.73,SL_HIT,-1520.75,55.28,-1576.02,65,1,24823.6,0.5756,0.1036,10.36,2025-09-11,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,24850,2025-09-11,2025-09-08T10:00:00,2025-09-08T10:10:00,52.76,37.23,37.99,84.42,SL_HIT,-1009.62,52.48,-1062.1,65,1,24826.1,0.4534,0.1036,10.36,2025-09-11,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,25300,2025-09-18,2025-09-17T09:55:00,2025-09-17T13:45:00,99.77,71.05,71.84,159.64,SL_HIT,-1867.24,57.24,-1924.48,65,1,25320.05,0.5602,0.1025,10.25,2025-09-17,1.1,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,25350,2025-09-25,2025-09-17T10:20:00,2025-09-17T14:05:00,114.15,81.78,82.19,182.64,SL_HIT,-2104.29,58.72,-2163.02,65,1,25326.6,0.4967,0.1056,10.56,2025-09-22,0.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,24950,2025-10-09,2025-10-06T09:35:00,2025-10-06T13:25:00,110.89,176.53,79.84,177.42,TARGET_HIT,4266.88,66.29,4200.59,65,1,24926.85,0.4975,0.1019,10.19,2025-10-06,0.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
