status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,tier,risk_multiplier,regime,quality_score
COMPLETED,CALL,CE,25350,2026-02-05,2026-01-29T13:00:00,2026-01-29T13:15:00,51.78,43.13,44.01,82.85,SL_HIT,-562.09,52.92,-615.01,65,1,25351.3,0.5137,0.1217,12.170000076293945,2026-02-05,1.5,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
COMPLETED,CALL,CE,25300,2026-02-05,2026-01-30T13:40:00,2026-01-30T13:45:00,44.35,36.95,37.7,70.96,SL_HIT,-481.45,52.1,-533.55,65,1,25301.2,0.5126,0.1217,12.170000076293945,2026-02-05,2.0,0,VWAP_RECLAIM,2,0.6,BULL_PULLBACK,4
COMPLETED,CALL,CE,25300,2026-02-05,2026-01-30T13:40:00,2026-01-30T13:45:00,44.35,36.95,37.7,70.96,SL_HIT,-481.45,52.1,-533.55,65,1,25301.2,0.5126,0.1217,12.170000076293945,2026-02-05,2.0,0,VWAP_RECLAIM_REENTRY,2,0.44999999999999996,BULL_PULLBACK,4
COMPLETED,CALL,CE,25850,2026-02-12,2026-02-03T11:55:00,2026-02-03T12:00:00,113.57,95.76,96.53,181.71,SL_HIT,-1157.49,59.84,-1217.32,65,1,25847.85,0.5186,0.1167,11.670000076293945,2026-02-10,0.8,0,EMA_PULLBACK,2,1.0,BULL_PULLBACK,3
