status,direction,option_type,strike,expiry,entry_ts,exit_ts,entry_price,exit_price,sl_price,target_price,exit_reason,gross_pnl,charges,net_pnl,qty,lots,spot_at_entry,delta_at_entry,iv_at_entry,vix,trade_date,entry_slippage_pct,otm_offset,strategy,risk_multiplier,regime
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:20:00,2025-03-05T11:50:00,95.77,156.29,71.83,158.03,TARGET_HIT,3933.42,64.0,3869.42,65,1,22236.6,0.4947,0.14,14.0,2025-03-05,1.1,0,EMA_PULLBACK,1.0,SKIP_RANGING
COMPLETED,CALL,CE,22250,2025-03-06,2025-03-05T10:25:00,2025-03-05T11:45:00,74.62,121.27,52.23,123.12,TARGET_HIT,3032.55,60.25,2972.3,65,1,22251.1,0.5146,0.14,14.0,2025-03-06,1.5,0,EMA_PULLBACK,1.0,STRONG_BULL
COMPLETED,CALL,CE,22250,2025-03-13,2025-03-05T10:20:00,2025-03-05T12:30:00,117.96,193.08,82.57,194.64,TARGET_HIT,4882.77,67.94,4814.82,65,1,22236.6,0.5019,0.14,14.0,2025-03-11,0.8,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T12:35:00,2025-03-06T14:25:00,86.66,102.22,64.99,142.99,SL_HIT,1011.65,59.21,952.43,65,1,22443.3,0.5021,0.14,14.0,2025-03-12,1.1,0,EMA_PULLBACK,1.0,SKIP_RANGING
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T13:00:00,2025-03-06T15:15:00,94.77,126.47,71.07,156.36,FORCE_EXIT,2060.77,61.53,1999.24,65,1,22463.8,0.5405,0.14,14.0,2025-03-12,1.1,0,EMA_PULLBACK,1.0,SKIP_RANGING
COMPLETED,CALL,CE,22450,2025-03-13,2025-03-06T13:00:00,2025-03-06T14:05:00,59.32,73.19,44.49,97.87,SL_HIT,901.7,55.69,846.02,65,1,22463.8,0.5523,0.14,14.0,2025-03-13,1.5,0,EMA_PULLBACK,1.0,SKIP_RANGING
COMPLETED,CALL,CE,22600,2025-03-13,2025-03-07T10:45:00,2025-03-07T10:50:00,79.76,58.93,59.82,131.61,SL_HIT,-1354.49,55.4,-1409.89,65,1,22613.35,0.5423,0.14,14.0,2025-03-13,1.5,0,EMA_PULLBACK,1.0,SKIP_RANGING
COMPLETED,PUT,PE,22400,2025-03-20,2025-03-11T09:50:00,2025-03-11T10:15:00,116.23,86.48,87.18,191.79,SL_HIT,-1934.15,59.2,-1993.34,65,1,22382.7,-0.5029,0.1321,13.21,2025-03-18,0.8,0,EMA_PULLBACK,0.85,SKIP_RANGING
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:15:00,119.61,88.99,89.71,197.36,SL_HIT,-1990.32,59.54,-2049.86,65,1,22546.1,0.5159,0.1321,13.21,2025-03-18,0.8,0,EMA_PULLBACK,1.0,SKIP_RANGING
COMPLETED,CALL,CE,22550,2025-03-20,2025-03-17T09:55:00,2025-03-17T10:15:00,99.23,68.7,69.46,163.73,SL_HIT,-1984.63,57.02,-2041.65,65,1,22546.1,0.5112,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,22900,2025-03-20,2025-03-19T10:15:00,2025-03-19T15:05:00,100.68,69.7,70.48,166.12,SL_HIT,-2013.67,57.17,-2070.83,65,1,22899.35,0.5163,0.133,13.3,2025-03-19,1.1,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,23050,2025-03-27,2025-03-20T10:25:00,2025-03-20T13:35:00,101.03,164.86,75.77,166.7,TARGET_HIT,4149.22,64.92,4084.3,65,1,23048.15,0.514,0.1347,13.47,2025-03-26,1.1,0,EMA_PULLBACK,1.0,SKIP_RANGING
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T09:40:00,2025-03-21T11:10:00,92.11,113.83,64.47,151.98,SL_HIT,1412.06,60.39,1351.67,65,1,23273.85,0.5637,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,CALL,CE,23250,2025-03-27,2025-03-21T10:05:00,2025-03-21T11:10:00,86.92,113.83,60.84,143.42,SL_HIT,1749.19,60.17,1689.02,65,1,23269.95,0.5567,0.133,13.3,2025-03-27,1.5,0,EMA_PULLBACK,1.0,BULL_PULLBACK
COMPLETED,PUT,PE,23600,2025-04-03,2025-03-26T12:15:00,2025-03-26T12:50:00,112.97,84.05,84.73,186.4,SL_HIT,-1879.82,58.86,-1938.68,65,1,23591.65,-0.4928,0.1378,13.78,2025-04-01,0.8,0,EMA_PULLBACK,1.0,SKIP_RANGING
COMPLETED,PUT,PE,23450,2025-04-03,2025-03-28T13:00:00,2025-03-28T13:30:00,93.96,69.91,70.47,155.04,SL_HIT,-1563.55,56.9,-1620.45,65,1,23473.45,-0.4478,0.1378,13.78,2025-04-01,0.8,0,EMA_PULLBACK,1.0,SKIP_RANGING
